title,lyrics
About a Girl,"['I need an easy friend', 'I do, with an ear to lend', 'I do, think you fit this shoe', 'I do, but you have a clue', ""I'll take advantage while"", 'You hang me out to dry', ""But I can't see you every night"", 'Free, I do', ""I'm standing in your line"", 'I do, hope you have the time', 'I do, pick a number too', 'I do, keep a date with you', ""I'll take advantage while"", 'You hang me out to dry', ""But I can't see you every night"", 'Free', 'I need an easy friend', 'I do, with an ear to lend', 'I do, think you fit this shoe', ""I do, won't you have a clue"", ""I'll take advantage while"", 'You hang me out to dry', ""But I can't see you every night"", 'No I can see you every night', 'Free', 'I do, I do, I do, I do']"
Aero Zeppelin,"[""What's the season of love if you can't have everything"", ""What's the reason of love if you can lose everything"", ""What's the meaning of love, it's a crime if anything"", ""What's the meaning of love, it's a crime, it's a crime"", ""How can a culture can forget it's plan of yesterday"", ""And you swear it's not a trend, doesn't matter anyways"", 'Barely heat the top of friend like it moves everyday', ""You could shit upon the stage, they'll be fans"", ""All the kids will eat it up, if it's packaged properly."", 'Steal a sound and imitate, keep a format equally', 'Not an ode, just the facts, where our world is nowadays', ""An idea is what we lack, doesn't matter anyway"", ""All the kids will eat it up, if it's packaged properly"", 'Steal a sound and imitate, keep a format equally', 'Not an ode, just the facts, where our world is nowadays', ""An idea is what we lack, doesn't matter anyway""]"
Ain't It A Shame,"[""Ain't it a shame to go fishin on a Sunday"", ""Ain't it a shame"", ""Ain't it a shame to go fishin on a Sunday"", ""Ain't it a shame"", ""Ain't it a shame to go fishin on a Sunday"", 'When you got Monday, Tuesday, Wednesday', 'Oh, Thursday, Friday, Saturday', ""Ain't it a shame"", ""Ain't it a shame to have a drink on Sunday"", ""Ain't it a shame"", ""Ain't it a shame to have a drink on Sunday"", ""Ain't it a shame"", ""Ain't it a shame to have a drink on Sunday"", 'When you got Monday, Tuesday, Wednesday', 'Oh, Thursday, Friday, Saturday', ""Ain't it a shame"", ""Ain't it a shame to beat your wife on Sunday"", ""Ain't it a shame"", ""Ain't it a shame to beat your wife on Sunday"", ""Ain't it a shame"", ""Ain't it a shame to beat your wife on Sunday"", 'When you got Monday, Tuesday, Wednesday', 'Oh, Thursday, Friday, Saturday', ""Ain't it a shame"", ""Ain't it a shame to go fishin on a Sunday"", ""Ain't it a shame"", ""Ain't it a shame to go fishin on a Sunday"", ""Ain't it a shame"", ""Ain't it a shame to go fishin on a Sunday"", 'When you got Monday, Tuesday, Wednesday', 'Oh, Thursday, Friday, Saturday', ""Ain't it a shame"", ""Ain't it a shame"", ""Ain't it a shame"", ""Ain't it a shame"", ""Ain't it a shame"", ""Ain't it a shame"", 'Shame, shame, shame']"
Alcohol (High On The Hog),"['My baby taught me how to live', 'My baby taught me how to be', 'My baby taught me how to fight', 'My baby taught me how to die', 'Alcohol, alcohol, alcohol, alcohol', 'My baby taught me how to smoke', 'My baby taught me how to breathe', 'My baby taught me how to hide', 'My baby taught me how to leave', 'Alcohol, alcohol, alcohol, alcohol', 'My baby taught me how to choke', 'My baby taught me how to eat', 'My baby taught me how to fuck', 'My baby taught me how to be', 'Alcohol, alcohol, alcohol, alcohol']"
All Apologies,"['What else should I be?', 'All apologies', 'What else could I say?', 'Everyone is gay', 'What else could I write?', ""I don't have the right"", 'What else should I be?', 'All apologies', 'In the Sun', 'In the Sun I feel as one', 'In the Sun', 'In the Sun', 'Married, buried', 'I wish I was like you', 'Easily amused', 'Find my nest of salt', 'Everything is my fault', ""I'll take all the blame"", 'Aqua seafoam shame', 'Sunburn, freezerburn', 'Choking on the ashes of her enemy', 'In the Sun', 'In the Sun I feel as one', 'In the Sun', 'In the Sun', 'Married, buried', 'Married, buried', 'Yeah, yeah, yeah, yeah', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are', 'All in all is all we are']"
Aneurysm,"['Come on over and do the twist', 'Over-do it and have a fit', 'Love you so much, it makes me sick', 'Come on overdo the twist', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me', 'Come on over and do the twist', 'Over-do it and have a fit', 'Love you so much, it makes me sick', 'Come on over and shoot the shit', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me (beat it, beat it)', 'Beat me outta me', 'She keeps it pumping straight to my heart', 'She keeps it pumping straight to my heart', 'She keeps it pumping straight to my heart', 'She keeps it pumping straight to my heart', 'She keeps it pumping straight to my heart', 'She keeps it pumping straight to my heart', 'She keeps it pumping straight to my heart', 'She keeps it pumping straight to my heart', 'She keeps it pumping straight to my heart', 'She keeps it pumping straight to my heart']"
Anorexorcist,"['Look your legs are ashes', 'Charred into a special', ""Don't make noise, you break"", 'Your legs are eyes and all', ""You're right"", 'I was your incompetent', 'Man just read the furies', ""Special time but you can't"", 'Make too much of him', 'Gray', 'I was yours and closer', 'Your were them in New York', 'Got me in, to enter', 'See your legs are in your legs', 'I was your end dancer', 'More than all I wish you', 'Got me under with the', 'Nice, nice, nice religious man']"
Asshole,"['When I first wanted I never ever was... naw', 'When I first wanted I never ever thought twice', 'When I first wanted, When I first wanted...', 'When I first wanted, When I first wanted..', 'When I first wanted I never ever was.. naw', 'When I first wanted I never ever thought twice..', 'When I first wanted, When I first wanted..', 'When I first wanted, When I first wanted...', 'Weeee are runnin on down..', ""We're..Ohhh ahh ahh ahhh.."", ""Here, here is where it's running..."", ""We're Ohh ah ah ahhh"", 'YEAH!']"
Baba O' Riley,"['Out here in the fields', 'I fight for my meals', 'I get my back into my living', ""I don't need to fight"", ""To prove I'm right"", ""I don't need to be forgiven"", ""Don't cry"", ""Don't raise your eye"", ""It's only teenage wasteland"", 'Sally, take my hand', 'Travel south crossland', 'Put out the fire', ""Don't look past my shoulder"", 'The exodus is here', 'The happy ones are near', ""Let's get together"", 'Before we get much older', 'Teenage wasteland', ""It's only a teenage wasteland"", 'Teenage wasteland', 'Oh, oh', 'Teenage wasteland', ""They're all wasted!""]"
Bad Moon Rising,"['I see a bad moon rising', 'I see trouble on the way', ""I see earthquakes and lightnin'"", 'I see bad times today', ""Don't go 'round tonight"", ""It's bound to take your life"", ""There's a bad moon on the rise"", ""I hear hurricanes a blowin'"", ""I know the end is commin' soon"", 'I fear rivers over flowing', 'I hear the voice of rage and ruin', 'Hope you got your things together', 'Hope you are quite prepared to die', ""Looks like we'er in for nasty weather"", 'One eye is taken for an eye']"
